CRF++: Yet Another CRF Tool Kit
iter=6 terr=0.07853 serr=0.72509 act=587076 obj=146359.70235 diff=0.13398
iter=7 terr=0.07819 serr=0.68520 act=587076 obj=135605.91886 diff=0.07348
iter=8 terr=0.07624 serr=0.68977 act=587076 obj=130478.84386 diff=0.03781
iter=9 terr=0.07521 serr=0.69027 act=587076 obj=126622.90806 diff=0.02955
iter=10 terr=0.07407 serr=0.69081 act=587076 obj=121365.42427 diff=0.04152
iter=11 terr=0.07251 serr=0.67320 act=587076 obj=116750.94846 diff=0.03802
iter=12 terr=0.07122 serr=0.68991 act=587076 obj=115095.84113 diff=0.01418
iter=13 terr=0.07034 serr=0.68150 act=587076 obj=113202.27797 diff=0.01645
iter=14 terr=0.06986 serr=0.66891 act=587076 obj=111476.19333 diff=0.01525
iter=15 terr=0.06963 serr=0.66561 act=587076 obj=110209.46140 diff=0.01136
iter=16 terr=0.06961 serr=0.65302 act=587076 obj=109402.79684 diff=0.00732
iter=17 terr=0.06875 serr=0.66516 act=587076 obj=107646.77015 diff=0.01605
iter=18 terr=0.06829 serr=0.66869 act=587076 obj=106998.52935 diff=0.00602
iter=19 terr=0.06799 serr=0.66318 act=587076 obj=105823.06348 diff=0.01099
iter=20 terr=0.06744 serr=0.66098 act=587076 obj=104814.34700 diff=0.00953
iter=21 terr=0.06687 serr=0.65731 act=587076 obj=103818.78809 diff=0.00950
iter=22 terr=0.06630 serr=0.64870 act=587076 obj=103019.76283 diff=0.00770
iter=23 terr=0.06570 serr=0.65556 act=587076 obj=102117.52006 diff=0.00876
iter=24 terr=0.06512 serr=0.63958 act=587076 obj=101174.97944 diff=0.00923
iter=25 terr=0.06458 serr=0.63788 act=587076 obj=100423.95742 diff=0.00742
iter=26 terr=0.06442 serr=0.64017 act=587076 obj=99912.30328 diff=0.00509
iter=27 terr=0.06440 serr=0.63590 act=587076 obj=99359.36245 diff=0.00553
iter=28 terr=0.06350 serr=0.62960 act=587076 obj=98516.01827 diff=0.00849
iter=29 terr=0.06292 serr=0.62482 act=587076 obj=97789.36801 diff=0.00738
iter=30 terr=0.06236 serr=0.61258 act=587076 obj=97161.59619 diff=0.00642
iter=31 terr=0.06180 serr=0.61546 act=587076 obj=96755.86340 diff=0.00418
iter=32 terr=0.06161 serr=0.61164 act=587076 obj=96461.68231 diff=0.00304
iter=33 terr=0.06138 serr=0.61192 act=587076 obj=96079.15614 diff=0.00397
iter=34 terr=0.06113 serr=0.60770 act=587076 obj=95631.70382 diff=0.00466
iter=35 terr=0.06041 serr=0.60421 act=587076 obj=95145.08973 diff=0.00509
iter=36 terr=0.06033 serr=0.60636 act=587076 obj=94762.29890 diff=0.00402
iter=37 terr=0.06013 serr=0.60049 act=587076 obj=94468.22430 diff=0.00310
iter=38 terr=0.05961 serr=0.59959 act=587076 obj=94259.03899 diff=0.00221
iter=39 terr=0.05925 serr=0.59539 act=587076 obj=93974.07140 diff=0.00302
iter=40 terr=0.05852 serr=0.58639 act=587076 obj=93635.54900 diff=0.00360
iter=41 terr=0.05822 serr=0.58834 act=587076 obj=93331.61775 diff=0.00325
iter=42 terr=0.05801 serr=0.58879 act=587076 obj=93078.23299 diff=0.00271
iter=43 terr=0.05765 serr=0.58202 act=587076 obj=92779.77823 diff=0.00321
iter=44 terr=0.05748 serr=0.58530 act=587076 obj=92546.00355 diff=0.00252
iter=45 terr=0.05727 serr=0.58063 act=587076 obj=92288.66402 diff=0.00278
iter=46 terr=0.05667 serr=0.57953 act=587076 obj=92088.94790 diff=0.00216
iter=47 terr=0.05652 serr=0.57538 act=587076 obj=91883.74657 diff=0.00223
iter=48 terr=0.05642 serr=0.57373 act=587076 obj=91758.60364 diff=0.00136
iter=49 terr=0.05617 serr=0.57054 act=587076 obj=91561.82999 diff=0.00214
iter=50 terr=0.05587 serr=0.57740 act=587076 obj=91950.13705 diff=0.00424
iter=51 terr=0.05609 serr=0.57307 act=587076 obj=91474.60114 diff=0.00517
iter=52 terr=0.05568 serr=0.56918 act=587076 obj=91322.39679 diff=0.00166
iter=53 terr=0.05526 serr=0.56649 act=587076 obj=91182.54791 diff=0.00153
iter=54 terr=0.05491 serr=0.56158 act=587076 obj=91023.51431 diff=0.00174
iter=55 terr=0.05472 serr=0.56724 act=587076 obj=90908.93012 diff=0.00126
iter=56 terr=0.05443 serr=0.56118 act=587076 obj=90733.54308 diff=0.00193
iter=57 terr=0.05422 serr=0.55694 act=587076 obj=90529.26683 diff=0.00225
iter=58 terr=0.05409 serr=0.55340 act=587076 obj=90383.16732 diff=0.00161
iter=59 terr=0.05392 serr=0.55795 act=587076 obj=90287.37194 diff=0.00106
iter=60 terr=0.05381 serr=0.55489 act=587076 obj=90132.05796 diff=0.00172
iter=61 terr=0.05382 serr=0.55460 act=587076 obj=90047.05569 diff=0.00094
iter=62 terr=0.05378 serr=0.55406 act=587076 obj=89979.16524 diff=0.00075
iter=63 terr=0.05349 serr=0.55057 act=587076 obj=89808.57977 diff=0.00190
iter=64 terr=0.05361 serr=0.55086 act=587076 obj=89772.88640 diff=0.00040
iter=65 terr=0.05329 serr=0.54956 act=587076 obj=89557.80300 diff=0.00240
iter=66 terr=0.05313 serr=0.54845 act=587076 obj=89486.01197 diff=0.00080
iter=67 terr=0.05289 serr=0.54725 act=587076 obj=89365.80937 diff=0.00134
iter=68 terr=0.05288 serr=0.55064 act=587076 obj=89283.25149 diff=0.00092
iter=69 terr=0.05269 serr=0.54557 act=587076 obj=89136.19016 diff=0.00165
iter=70 terr=0.05274 serr=0.54565 act=587076 obj=89084.48381 diff=0.00058
iter=71 terr=0.05276 serr=0.54581 act=587076 obj=89038.43342 diff=0.00052
iter=72 terr=0.05262 serr=0.54402 act=587076 obj=88955.05688 diff=0.00094
iter=73 terr=0.05275 serr=0.54852 act=587076 obj=88955.14559 diff=0.00000
iter=74 terr=0.05265 serr=0.54664 act=587076 obj=88888.84197 diff=0.00075
iter=75 terr=0.05225 serr=0.54218 act=587076 obj=88795.58505 diff=0.00105
iter=76 terr=0.05203 serr=0.54003 act=587076 obj=88728.30556 diff=0.00076
iter=77 terr=0.05193 serr=0.53904 act=587076 obj=88657.91462 diff=0.00079
iter=78 terr=0.05193 serr=0.54053 act=587076 obj=88598.01147 diff=0.00068
iter=79 terr=0.05193 serr=0.53980 act=587076 obj=88534.08573 diff=0.00072
iter=80 terr=0.05197 serr=0.54168 act=587076 obj=88471.07657 diff=0.00071
iter=81 terr=0.05191 serr=0.54018 act=587076 obj=88422.10713 diff=0.00055
iter=82 terr=0.05205 serr=0.54600 act=587076 obj=88362.93853 diff=0.00067
iter=83 terr=0.05170 serr=0.53982 act=587076 obj=88298.08239 diff=0.00073
iter=84 terr=0.05166 serr=0.53928 act=587076 obj=88271.44699 diff=0.00030
iter=85 terr=0.05157 serr=0.53867 act=587076 obj=88242.47369 diff=0.00033
iter=86 terr=0.05162 serr=0.54079 act=587076 obj=88217.97275 diff=0.00028
iter=87 terr=0.05152 serr=0.53888 act=587076 obj=88162.66602 diff=0.00063
iter=88 terr=0.05155 serr=0.53869 act=587076 obj=88135.23881 diff=0.00031
iter=89 terr=0.05153 serr=0.53878 act=587076 obj=88115.88822 diff=0.00022
iter=90 terr=0.05152 serr=0.53907 act=587076 obj=88082.18300 diff=0.00038
iter=91 terr=0.05119 serr=0.53702 act=587076 obj=88116.21721 diff=0.00039
iter=92 terr=0.05137 serr=0.53824 act=587076 obj=88068.59032 diff=0.00054
iter=93 terr=0.05136 serr=0.53838 act=587076 obj=88047.45446 diff=0.00024
iter=94 terr=0.05128 serr=0.53728 act=587076 obj=88032.64274 diff=0.00017
iter=95 terr=0.05137 serr=0.53942 act=587076 obj=88009.91541 diff=0.00026
iter=96 terr=0.05127 serr=0.53666 act=587076 obj=87989.84954 diff=0.00023
iter=97 terr=0.05126 serr=0.53650 act=587076 obj=87970.19618 diff=0.00022
iter=98 terr=0.05127 serr=0.53742 act=587076 obj=87941.37101 diff=0.00033
iter=99 terr=0.05120 serr=0.53643 act=587076 obj=87921.19922 diff=0.00023
iter=100 terr=0.05122 serr=0.53662 act=587076 obj=87911.90841 diff=0.00011
iter=101 terr=0.05116 serr=0.53621 act=587076 obj=87895.45706 diff=0.00019
iter=102 terr=0.05130 serr=0.53579 act=587076 obj=87904.31977 diff=0.00010
iter=103 terr=0.05123 serr=0.53593 act=587076 obj=87885.38352 diff=0.00022
iter=104 terr=0.05117 serr=0.53563 act=587076 obj=87870.29855 diff=0.00017
iter=105 terr=0.05112 serr=0.53605 act=587076 obj=87857.40306 diff=0.00015
iter=106 terr=0.05110 serr=0.53494 act=587076 obj=87847.79112 diff=0.00011
iter=107 terr=0.05116 serr=0.53673 act=587076 obj=87839.29837 diff=0.00010
iter=108 terr=0.05112 serr=0.53645 act=587076 obj=87831.28073 diff=0.00009
iter=109 terr=0.05108 serr=0.53570 act=587076 obj=87820.31254 diff=0.00012
iter=110 terr=0.05111 serr=0.53577 act=587076 obj=87810.53418 diff=0.00011
iter=111 terr=0.05107 serr=0.53496 act=587076 obj=87801.10820 diff=0.00011
iter=112 terr=0.05105 serr=0.53480 act=587076 obj=87792.91173 diff=0.00009
iter=113 terr=0.05109 serr=0.53631 act=587076 obj=87787.24351 diff=0.00006
iter=114 terr=0.05106 serr=0.53565 act=587076 obj=87782.73998 diff=0.00005

Done!146.82 s

